SSC,date
0.8160124604,2019-12-31
0.7997687745,2019-12-31
0.6681672051,2020-01-05
0.622388123,2020-01-05
0.7536803553,2020-01-05
0.5963176457,2020-01-05
0.6836757689,2020-01-10
0.5723225285,2020-01-10
0.696444556,2020-01-10
0.5516124092,2020-01-10
0.650762189,2020-01-15
0.5631309573,2020-01-15
0.738030025,2020-01-15
0.5470836112,2020-01-15
0.9245306362,2020-01-20
0.8545830987,2020-01-20
0.9251646556,2020-01-20
0.8683785162,2020-01-20
0.5788848336,2020-01-25
0.5195232065,2020-01-25
0.6965688202,2020-01-25
0.5155446102,2020-01-25
0.6295764934,2020-01-30
0.4772598565,2020-01-30
0.6807314289,2020-01-30
0.4593100999,2020-01-30
0.6412940468,2020-02-04
0.672408629,2020-02-04
0.7712245807,2020-02-04
0.6368883479,2020-02-04
0.6489704027,2020-02-09
0.5411436303,2020-02-09
0.7335004364,2020-02-09
0.4891174751,2020-02-09
0.5471096048,2020-02-14
0.4557179664,2020-02-14
0.6618397731,2020-02-14
0.4370212058,2020-02-14
0.7178991933,2020-02-19
0.5167792909,2020-02-19
0.7876383612,2020-02-19
0.5028028829,2020-02-19
0.6007106165,2020-02-24
0.484852248,2020-02-24
0.6975132309,2020-02-24
0.459581806,2020-02-24
0.7940242279,2020-02-29
0.835236617,2020-02-29
0.8006969752,2020-02-29
0.7162708393,2020-02-29
0.6473456021,2020-03-05
0.560764187,2020-03-05
0.7864571102,2020-03-05
0.5969767975,2020-03-05
0.518484693,2020-03-10
0.4379147302,2020-03-10
0.6087767245,2020-03-10
0.4231626503,2020-03-10
0.6174123028,2020-03-15
0.4776707639,2020-03-15
0.7229061972,2020-03-15
0.4652876657,2020-03-15
0.6110979839,2020-03-20
0.5302596794,2020-03-20
0.6859319289,2020-03-20
0.5212623649,2020-03-20
0.5482753607,2020-03-25
0.4844028223,2020-03-25
0.5980186407,2020-03-25
0.4750408398,2020-03-25
0.5653142277,2020-03-30
0.4904680063,2020-03-30
0.5863223643,2020-03-30
0.4886281016,2020-03-30
0.6094862883,2020-04-04
0.5551878531,2020-04-04
0.6062522322,2020-04-04
0.5598275967,2020-04-04
0.6838070502,2020-04-09
0.6470583989,2020-04-09
0.6728654016,2020-04-09
0.6482084831,2020-04-09
0.8433712916,2020-04-14
0.7275122976,2020-04-14
0.7886228105,2020-04-14
0.713004957,2020-04-14
0.6856766796,2020-04-19
0.691587384,2020-04-19
0.6417279093,2020-04-19
0.6868196478,2020-04-19
0.7112901784,2020-04-24
0.7196471888,2020-04-24
0.6615597869,2020-04-24
0.7149295157,2020-04-24
0.7266144342,2020-04-29
0.7514230523,2020-04-29
0.6789521355,2020-04-29
0.7478527735,2020-04-29
0.7910691296,2020-05-04
0.7386540509,2020-05-04
0.754072731,2020-05-04
0.7201424583,2020-05-04
0.7391590182,2020-05-09
0.7586738392,2020-05-09
0.6916349629,2020-05-09
0.7504377676,2020-05-09
0.7587331302,2020-05-14
0.7862398104,2020-05-14
0.7135137513,2020-05-14
0.7799746061,2020-05-14
0.7437827593,2020-05-24
0.768972403,2020-05-24
0.6987191153,2020-05-24
0.7596018668,2020-05-24
0.8914489905,2020-05-29
0.8472654336,2020-05-29
0.8541123508,2020-05-29
0.8374536376,2020-05-29
0.7491066719,2020-06-03
0.7186742343,2020-06-03
0.6966154693,2020-06-03
0.7118984561,2020-06-03
0.7148097963,2020-06-08
0.6926119815,2020-06-08
0.6590796493,2020-06-08
0.6831838775,2020-06-08
0.8226354636,2020-06-13
0.8146761335,2020-06-13
0.7537202073,2020-06-13
0.7955802621,2020-06-13
0.7045946402,2020-06-18
0.6638765688,2020-06-18
0.6548562106,2020-06-18
0.6621163871,2020-06-18
0.7546285594,2020-06-23
0.8519307785,2020-06-23
0.7483715627,2020-06-23
0.8492124528,2020-06-23
0.7445971666,2020-06-28
0.784823248,2020-06-28
0.6977304205,2020-06-28
0.721442548,2020-06-28
0.7460241701,2020-07-03
0.7227221857,2020-07-03
0.7330998375,2020-07-03
0.727439165,2020-07-03
0.9872666507,2020-07-08
0.9685192705,2020-07-08
1.004708455,2020-07-08
0.9888238542,2020-07-08
0.6123854755,2020-07-13
0.5864174243,2020-07-13
0.6201284784,2020-07-13
0.6017630462,2020-07-13
0.9430358113,2020-07-18
0.9626392068,2020-07-18
0.926567387,2020-07-18
0.9569623068,2020-07-18
0.6987660037,2020-07-23
0.6279973798,2020-07-23
0.7033884376,2020-07-23
0.64325758,2020-07-23
0.587805675,2020-07-28
0.5332705609,2020-07-28
0.600580355,2020-07-28
0.5401850406,2020-07-28
0.5651200492,2020-08-02
0.5162815354,2020-08-02
0.5815057665,2020-08-02
0.5290895574,2020-08-02
0.6835624976,2020-08-07
0.6343295321,2020-08-07
0.7502316887,2020-08-07
0.6338932492,2020-08-07
0.71464212,2020-08-12
0.5504745574,2020-08-12
0.7968666598,2020-08-12
0.5798820108,2020-08-12
0.8956599021,2020-08-17
0.9543841614,2020-08-17
0.8014497436,2020-08-17
0.9097820457,2020-08-17
0.6214688189,2020-08-22
0.4861922581,2020-08-22
0.7105755504,2020-08-22
0.4933561821,2020-08-22
0.751900507,2020-08-27
0.6650663734,2020-08-27
0.7147989031,2020-08-27
0.6806040394,2020-08-27
0.786863033,2020-09-01
0.7259635825,2020-09-01
0.7367044621,2020-09-01
0.6694383854,2020-09-01
0.7489294241,2020-09-06
0.6540766268,2020-09-06
0.8176697451,2020-09-06
0.6450801448,2020-09-06
0.5640171738,2020-09-11
0.4584651456,2020-09-11
