DOM,date
0.9995077074,2021-04-09
1.015457091,2021-04-14
0.9979895962,2021-04-14
1.042973648,2021-04-14
1.000412494,2021-04-14
1.013886529,2021-04-19
0.9955078449,2021-04-19
1.045138173,2021-04-19
0.9983986737,2021-04-19
0.9972919725,2021-04-24
0.984219317,2021-04-24
1.028887543,2021-04-24
0.987744971,2021-04-24
1.039433869,2021-04-29
1.0386408,2021-04-29
1.063853267,2021-04-29
1.037087955,2021-04-29
1.019476375,2021-05-04
1.064225067,2021-05-04
1.049810616,2021-05-04
1.061324813,2021-05-04
1.053983737,2021-05-09
1.064951778,2021-05-09
1.082836708,2021-05-09
1.06497815,2021-05-09
1.017905209,2021-05-14
1.028148973,2021-05-14
1.041561209,2021-05-14
1.029274654,2021-05-14
1.048110783,2021-05-19
1.048278424,2021-05-19
1.047658516,2021-05-19
1.048216653,2021-05-19
1.007832299,2021-05-24
1.003047503,2021-05-24
1.024480537,2021-05-24
1.001435107,2021-05-24
0.9980383721,2021-05-29
0.9913511541,2021-05-29
1.0204818,2021-05-29
0.9931473181,2021-05-29
1.021750263,2021-06-03
1.022194784,2021-06-03
1.051302226,2021-06-03
1.029494255,2021-06-03
0.9941105291,2021-06-08
0.9908251214,2021-06-08
1.01980691,2021-06-08
0.9929604309,2021-06-08
1.031723155,2021-06-13
1.031975018,2021-06-13
1.050863594,2021-06-13
1.034384948,2021-06-13
1.053466005,2021-06-18
1.052079828,2021-06-18
1.071718843,2021-06-18
1.055300575,2021-06-18
1.003223068,2021-06-23
1.003179683,2021-06-23
1.035125406,2021-06-23
1.00781243,2021-06-23
1.047036075,2021-06-28
1.054479061,2021-06-28
1.075361093,2021-06-28
1.058231466,2021-06-28
1.030607596,2021-07-03
1.027839896,2021-07-03
1.04472797,2021-07-03
1.035605894,2021-07-03
0.9943127152,2021-07-08
0.9914946061,2021-07-08
1.016029816,2021-07-08
0.9939063444,2021-07-08
1.048502752,2021-07-13
1.049842145,2021-07-13
1.05034751,2021-07-13
1.04905601,2021-07-13
1.0680522,2021-07-18
1.070908443,2021-07-18
1.070356864,2021-07-18
1.071389846,2021-07-18
1.073231899,2021-07-23
1.089807064,2021-07-23
1.071108463,2021-07-23
1.088078591,2021-07-23
1.044631211,2021-07-28
1.044173275,2021-07-28
1.044044565,2021-07-28
1.044689052,2021-07-28
1.053254473,2021-08-02
1.046020161,2021-08-02
1.049586573,2021-08-02
1.044748408,2021-08-02
1.063691446,2021-08-07
1.060026057,2021-08-07
1.046878505,2021-08-07
1.049177306,2021-08-07
1.019119208,2021-08-12
1.022209995,2021-08-12
1.035562158,2021-08-12
1.020682462,2021-08-12
1.036145822,2021-08-17
1.037493858,2021-08-17
1.057502384,2021-08-17
1.042212078,2021-08-17
1.067208998,2021-08-22
1.057626398,2021-08-22
1.07070654,2021-08-22
1.067038761,2021-08-22
1.023293361,2021-08-27
1.035005903,2021-08-27
1.047352321,2021-08-27
1.030478108,2021-08-27
1.049013185,2021-09-01
1.050949638,2021-09-01
1.048411319,2021-09-01
1.051031922,2021-09-01
1.091220844,2021-09-06
1.071855424,2021-09-06
1.094027923,2021-09-06
1.085854596,2021-09-06
1.052409804,2021-09-11
1.051930402,2021-09-11
1.052051816,2021-09-11
1.053010102,2021-09-11
1.05231168,2021-09-16
1.057472057,2021-09-16
1.052926801,2021-09-16
1.066104005,2021-09-16
1.103651252,2021-09-21
1.09392858,2021-09-21
1.11521176,2021-09-21
1.087268056,2021-09-21
1.082628858,2021-09-26
