Turbidity,date
0.01052049062,2019-08-03
0.01146242621,2019-08-03
0.01609995386,2019-08-03
0.0169663922,2019-08-03
-0.07087517525,2019-08-08
-0.08917692782,2019-08-08
-0.07415410002,2019-08-08
-0.08893215974,2019-08-08
-0.02214094512,2019-08-13
-0.05824058132,2019-08-13
-0.00456905848,2019-08-13
-0.05666459413,2019-08-13
0.01085406341,2019-08-18
0.01444964201,2019-08-18
0.01270149285,2019-08-18
0.01515097784,2019-08-18
-0.06102085715,2019-08-23
-0.0842959596,2019-08-23
-0.05516766773,2019-08-23
-0.08014520117,2019-08-23
-0.04712619672,2019-08-28
-0.06530903546,2019-08-28
-0.05979830909,2019-08-28
-0.07301774214,2019-08-28
-0.05139651168,2019-09-02
-0.07909604191,2019-09-02
-0.05708666498,2019-09-02
-0.0839467112,2019-09-02
-0.04315325185,2019-09-07
-0.05038590604,2019-09-07
-0.0395866711,2019-09-07
-0.05382962193,2019-09-07
-0.03675504826,2019-09-12
-0.04808025886,2019-09-12
-0.0423924168,2019-09-12
-0.05215770826,2019-09-12
-0.01559595539,2019-09-17
-0.05157538636,2019-09-17
-0.03535337917,2019-09-17
-0.06429234805,2019-09-17
-0.007668966786,2019-09-22
-0.01948739335,2019-09-22
0.00462219371,2019-09-22
-0.001985801048,2019-09-22
0.009240695052,2019-09-27
-0.05060626567,2019-09-27
-4.12E-05,2019-09-27
-0.0577333464,2019-09-27
-0.03249474606,2019-10-02
-0.04743300193,2019-10-02
-0.04036331445,2019-10-02
-0.04688603981,2019-10-02
-0.01186200565,2019-10-07
-0.03016660019,2019-10-07
-0.0191072473,2019-10-07
-0.02880495138,2019-10-07
-0.02505346677,2019-10-12
-0.0337723038,2019-10-12
-0.04711181229,2019-10-12
-0.03477848068,2019-10-12
-0.02287911196,2019-10-17
-0.02957371345,2019-10-17
-0.04253662956,2019-10-17
-0.03214132869,2019-10-17
-0.017383838,2019-10-22
-0.05810604891,2019-10-22
-0.02316617407,2019-10-22
-0.06523658256,2019-10-22
-0.02389450081,2019-10-27
-0.02388174748,2019-10-27
-0.04248961403,2019-10-27
-0.02733951756,2019-10-27
-0.01709610554,2019-11-01
-0.01077701298,2019-11-01
-0.0241261719,2019-11-01
-0.01265579049,2019-11-01
-0.02396414379,2019-11-06
-0.02191222801,2019-11-06
-0.04392447099,2019-11-06
-0.02835092456,2019-11-06
-0.0346425765,2019-11-11
-0.02663267478,2019-11-11
-0.0404270343,2019-11-11
-0.02925283161,2019-11-11
-0.02998665539,2019-11-16
-0.008135262412,2019-11-16
-0.04324623446,2019-11-16
-0.01492829419,2019-11-16
-0.02360328599,2019-11-21
-0.004787950752,2019-11-21
-0.02577308462,2019-11-21
-0.0227676839,2019-11-21
-0.02113558465,2019-11-26
-9.12E-04,2019-11-26
-0.0290716006,2019-11-26
-0.004541106537,2019-11-26
-0.03665254383,2019-12-01
-0.01912556609,2019-12-01
-0.04240704432,2019-12-01
-0.02858511716,2019-12-01
-0.03491042526,2019-12-06
-0.01147652923,2019-12-06
-0.03810884706,2019-12-06
-0.02309595168,2019-12-06
-0.006397735373,2019-12-11
-0.01926799597,2019-12-11
-0.001326652099,2019-12-11
-0.02100645099,2019-12-11
0.03194588327,2019-12-16
0.03247742801,2019-12-16
0.03221644724,2019-12-16
0.03284416115,2019-12-16
0.01480023766,2019-12-21
0.03091102762,2019-12-21
-0.001999064523,2019-12-21
0.02871017128,2019-12-21
0.0289932243,2019-12-26
0.03488893122,2019-12-26
0.01386388942,2019-12-26
0.03476415936,2019-12-26
-0.03014096868,2019-12-31
-0.004729297097,2019-12-31
-0.02840055824,2019-12-31
-0.01129387191,2019-12-31
-0.06655232504,2020-01-05
-0.07516200995,2020-01-05
-0.05011800483,2020-01-05
-0.08218172683,2020-01-05
-0.05780156931,2020-01-10
-0.08983971376,2020-01-10
-0.05880410198,2020-01-10
-0.09164870727,2020-01-10
-0.0700812249,2020-01-15
-0.09111545755,2020-01-15
-0.05470869116,2020-01-15
-0.09476022248,2020-01-15
0.009005849572,2020-01-20
0.007495657347,2020-01-20
0.001388107199,2020-01-20
0.01030571927,2020-01-20
-0.07867576626,2020-01-25
-0.09463459105,2020-01-25
-0.05001415269,2020-01-25
-0.08834696108,2020-01-25
-0.06279408587,2020-01-30
-0.1104021517,2020-01-30
-0.05646904945,2020-01-30
-0.1135155767,2020-01-30
-0.06289948916,2020-02-04
-0.05253913687,2020-02-04
-0.04034929717,2020-02-04
-0.06200345723,2020-02-04
-0.05169553226,2020-02-09
-0.06928577728,2020-02-09
-0.03916972239,2020-02-09
-0.08855439091,2020-02-09
-0.06885623823,2020-02-14
-0.09771274135,2020-02-14
-0.03633858234,2020-02-14
-0.1029852661,2020-02-14
-0.02153151318,2020-02-19
-0.05369824206,2020-02-19
-0.01610380026,2020-02-19
-0.07265328185,2020-02-19
-0.06134677034,2020-02-24
-0.0879496036,2020-02-24
-0.04100438482,2020-02-24
-0.0964386242,2020-02-24
-0.02018265979,2020-02-29
0.001913056816,2020-02-29
-0.02802735954,2020-02-29
-0.02386734093,2020-02-29
-0.04966531879,2020-03-05
-0.06771491931,2020-03-05
-0.0267011645,2020-03-05
-0.05165737,2020-03-05
-0.06951854445,2020-03-10
-0.09773928483,2020-03-10
-0.04593342015,2020-03-10
-0.1032598037,2020-03-10
-0.0598601844,2020-03-15
-0.09253000877,2020-03-15
-0.04424827645,2020-03-15
-0.09567557079,2020-03-15
-0.04085721073,2020-03-20
-0.05565327672,2020-03-20
-0.02947927308,2020-03-20
-0.05632117869,2020-03-20
-0.04793509392,2020-03-25
-0.07072719339,2020-03-25
-0.04124094996,2020-03-25
-0.07268930563,2020-03-25
-0.02990816693,2020-03-30
-0.05671966585,2020-03-30
-0.03362363317,2020-03-30
-0.05520368892,2020-03-30
-0.004849874285,2020-04-04
-0.01835932515,2020-04-04
-0.02012371726,2020-04-04
-0.01302681239,2020-04-04
0.01178271911,2020-04-09
0.01543503732,2020-04-09
-0.006868252109,2020-04-09
0.0155254023,2020-04-09
0.01463047154,2020-04-14
0.02882286618,2020-04-14
0.00507484062,2020-04-14
0.03226419297,2020-04-14
0.02723163539,2020-04-19
0.04379347765,2020-04-19
-0.004581168637,2020-04-19
0.0442848412,2020-04-19
0.03228502492,2020-04-24
0.04853639796,2020-04-24
-0.001242835941,2020-04-24
0.04393242093,2020-04-24
0.02520963455,2020-04-29
0.04516814136,2020-04-29
-0.007607088893,2020-04-29
0.03798204331,2020-04-29
0.01932552143,2020-05-04
0.03415397775,2020-05-04
-3.75E-04,2020-05-04
0.03132870841,2020-05-04
0.02789875295,2020-05-09
0.03266393297,2020-05-09
0.002198806794,2020-05-09
0.02848983452,2020-05-09
0.02725285852,2020-05-14
0.0289486702,2020-05-14
0.001800591128,2020-05-14
0.02327745315,2020-05-14
0.03726053633,2020-05-24
0.0391523442,2020-05-24
0.01184279442,2020-05-24
0.03128492781,2020-05-24
0.02444286993,2020-05-29
0.02531831602,2020-05-29
0.01409842292,2020-05-29
0.02191596699,2020-05-29
0.01127373763,2020-06-03
-0.002345224141,2020-06-03
-0.01507016895,2020-06-03
-0.01083640602,2020-06-03
0.001527405293,2020-06-08
-0.00165378013,2020-06-08
-0.02414547211,2020-06-08
-0.009333002747,2020-06-08
-0.007140698627,2020-06-13
-0.01926123406,2020-06-13
-0.02917788746,2020-06-13
-0.02183357801,2020-06-13
0.01405326197,2020-06-18
4.34E-04,2020-06-18
-0.01151482059,2020-06-18
-0.004571184241,2020-06-18
9.72E-05,2020-06-23
